FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time
127031;71986,67188;77004,90625;1317,350586;4081,471436;0,15024;-207,439072;15661,21387;1392,747314;1,40629;CF;A1;SC2;MPP;24h
170237;110141,6484;97287,26563;2691,152344;2306,263428;-16,610975;-804,818176;20897,19531;4918,725586;1,540462;CF;A2;SC2;MPP;24h
138630;69938,67969;89827,15625;1088,093506;2498,098877;11,369491;2097,506348;26043,98438;-31,800596;1,666095;CF;A3;SC2;ST-HSC;24h
142479;74781,98438;87362,66406;509,86795;4748,647461;-4,426771;117,723724;2321,046387;94,51918;1,83271;CF;A4;SC2;ST-HSC;24h
152572;90574,47656;104105,9688;833,466187;6070,34375;-95,739166;48669,94922;1305,390503;-214,877731;2,111261;CF;A5;SC2;HSC;24h
161345;74079,88281;133622,7188;5527,344727;5415,01416;-30,205633;10566,66992;1200,184082;-24,712877;2,572433;CF;A6;SC2;HSC;24h
210767;130161,0156;75716,13281;3173,790283;10619,1084;-26,156921;-563,565552;2817,806885;6628,351563;2,788624;CF;A7;SC3;MPP;24h
130148;93694,65625;91324,17188;2345,335449;4622,182129;-13,031854;-1382,043335;1009,215942;1066,394653;3,127064;CF;A8;SC3;MPP;24h
133757;62422,64453;78531,67188;1677,336304;5465,831543;-10,14372;333,969025;776,079346;582,64093;3,268756;CF;A9;SC3;ST-HSC;24h
163691;110630,7344;130440,6641;616,204163;7483,407715;-24,680557;2016,095337;1203,967529;148,618973;3,445039;CF;A10;SC3;ST-HSC;24h
112269;167666,25;104416,5547;528,757141;10173,0625;-58,423409;12760,28711;1590,688599;354,330231;3,709571;CF;A11;SC3;HSC;24h
132325;74498,76563;77530,88281;918,779968;4837,387207;9,295704;3484,618164;17960,35742;271,429657;3,85497;CF;A12;SC3;HSC;24h
159408;88595,50781;142617,9375;365,37796;2925,23999;-18,841759;4203,187012;7389,751465;-46,482071;4,169454;CF;B12;SC3;HSC;24h
158319;82129,04688;108433,9922;-619,572754;1883,56311;-83,979568;51266,55078;23091,22461;-220,111679;4,451872;CF;B11;SC3;HSC;24h
131344;81645,90625;88146,875;263,949188;3410,839111;-0,077284;886,712158;13225,43945;193,693359;4,57643;CF;B10;SC3;ST-HSC;24h
170213;112558,5391;131105,875;3980,400146;9734,253906;-10,866633;1394,880371;4568,856934;130,525696;4,745731;CF;B9;SC3;ST-HSC;24h
146262;64711,01172;78688,75;2778,416748;4150,992676;8,174774;-364,00061;2382,806396;2043,680542;4,840801;CF;B8;SC3;MPP;24h
145107;75406,73438;77532,07031;3129,181641;3914,900146;-8,675247;-881,676697;3336,334961;1874,440552;4,997426;CF;B7;SC3;MPP;24h
158871;84235,34375;95358,27344;1532,096313;4536,425781;-11,315554;6791,144043;6926,255371;98,48658;5,121125;CF;B6;SC2;HSC;24h
138380;82784,73438;99207,92188;-38,410583;5146,591797;-37,869068;25194,51953;16036,06641;-10,926697;5,313252;CF;B5;SC2;HSC;24h
128379;70119,5625;79131,4375;2781,625977;2625,440918;11,630868;-225,873993;4600,847168;296,096954;5,441947;CF;B4;SC2;ST-HSC;24h
171218;106207,5078;124671,5469;2672,092285;4867,79834;-27,291542;307,049713;16567,31836;304,650787;5,572897;CF;B3;SC2;ST-HSC;24h
135817;68333,375;71536,85156;626,211365;2978,322021;14,85744;-185,392166;1475,938354;656,06543;5,672211;CF;B2;SC2;MPP;24h
177487;139520,3594;117660,0625;10570,93164;5500,581055;-6,782812;-1942,34668;7241,505371;4507,140137;5,901024;CF;B1;SC2;MPP;24h
124836;99005,625;127710,8047;1361,941895;4716,549316;-44,720024;378,789673;6223,712402;685,211426;6,093206;CF;C1;SC2;MPP;24h
171742;94383,66406;113625,9688;1991,419922;7080,211914;4,163999;-198,670288;16681,83203;665,404175;6,216314;CF;C2;SC2;MPP;24h
144246;66369,875;72363,90625;1214,183228;7339,34375;-9,831092;1317,403076;4072,148193;100,789513;6,337542;CF;C3;SC2;ST-HSC;24h
146630;78428,14063;99601,8125;178,013489;6346,751465;-11,390881;-118,356133;9374,115234;170,390472;6,474884;CF;C4;SC2;ST-HSC;24h
177900;93837,45313;113686,6563;4256,431152;7061,504395;-36,586926;9200,419922;13416,80957;-25,875717;6,572264;CF;C5;SC2;HSC;24h
154516;85519,35156;90601,84375;1142,220093;5778,994629;-16,70463;5653,892578;12953,4082;-86,167389;6,744035;CF;C6;SC2;HSC;24h
132839;126062,6563;83716,50781;521,784302;5749,470215;-10,070576;1079,582031;11698,20606;691,930908;6,87246;CF;C7;SC3;MPP;24h
137585;113600,9766;84975,52344;6976,299316;2473,083008;-14,116142;454,142334;7265,895996;3601,485352;6,986814;CF;C8;SC3;MPP;24h
151130;121664,4141;104311,8359;7109,455078;4995,456055;-21,72687;2866,438965;33760,58203;94,870766;7,095795;CF;C9;SC3;ST-HSC;24h
137014;70878,78125;103688,2734;359,911865;2500,998535;-24,03775;-6,975492;27742,22852;583,265564;7,20091;CF;C10;SC3;ST-HSC;24h
124196;88353,9375;80345,23438;-557,733398;5108,82373;-20,699718;9458,400391;7089,150879;312,447662;7,352217;CF;C11;SC3;HSC;24h
154807;79085,02344;86849,77344;2878,78833;5698,794922;-21,151045;5144,784668;465,030273;12,279334;7,59231;CF;C12;SC3;HSC;24h
139948;63748,30469;82963,23438;410,609558;3382,801758;-11,494811;7763,799316;1548,439941;121,596893;7,787392;CF;D12;SC3;HSC;24h
138513;72009,28125;79503,90625;358,835419;4229,981934;-8,694981;5088,174805;2470,734619;-22,286392;7,982636;CF;D11;SC3;HSC;24h
