Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Culture_time
export_H1 bulk ckit+ SC2_CF0.csv.1;142106,3594;114706,7891;39487,01953;22,253464;55,193298;1810,984497;86,05397;62,721691;678,526001;-31,260433;593,470215;4,618274;0,790108;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.2;91143,14063;79952,10156;26102,1875;-115,758614;509,172913;-31,245119;52,547939;63,610325;158,21701;1541,908691;471,538452;4,339679;4,685971;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.3;143847,5;113655,5234;27155,75195;102,091583;77,484352;1363,710205;95,927422;134,5616;671,106384;51,786739;1352,33313;4,536659;12,911967;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.4;87991,85938;62723,42969;23059,12891;31,133892;184,386154;22,551687;41,694324;53,50845;68,174286;127,33474;386,44754;4,230563;21,959938;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.5;120793,625;77073;26205,20313;-35,326389;202,88266;56,571732;59,088791;87,778725;485,998535;482,52832;439,226654;4,376915;23,405802;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.6;90088,96094;50962,01953;23089,93359;6,887982;789,703857;-6,706981;26,26298;42,45414;87,151649;435,661346;297,608673;4,089034;26,402781;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.7;143525,0469;138947,0156;35468,34375;99,191994;1301,716064;93,319939;86,10524;50,164063;442,526764;622,716492;585,308777;4,585496;26,971634;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.8;140506,9531;103275,9297;30147,23828;159,927673;405,329803;93,869698;65,956367;66,287689;852,011536;1108,829224;229,477264;4,453715;30,18281;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.9;106856,1094;83152,71094;28180,56445;99,476334;2227,02124;14,425217;179,144943;128,380798;349,63089;144,219391;449,312561;4,739846;48,064903;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.10;112927,1563;102493,5938;23966,75;68,477859;1549,352539;471,937653;56,711578;-34,704479;666,247375;324,883301;409,586273;4,336884;49,465324;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.11;89170,65625;57211,90234;23198,62695;107,700371;1510,039429;32,826443;20,240768;21,330488;422,602814;400,530273;223,143463;4,01049;52,543327;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.12;126769,0469;82088,28906;20668,4082;94,329956;265,098419;312,250977;87,569229;60,149975;672,608643;208,692123;651,352966;4,424833;58,70628;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.13;110960,4609;91150,74219;32666,31641;30,567642;540,551514;206,006363;38,120449;136,464127;835,130188;49,343357;604,552612;4,309999;62,637302;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.14;81635,6875;65318,67969;26861,12109;72,412659;1604,411987;62,627815;42,532856;112,310516;690,79718;195,25679;299,150238;4,283546;64,41481;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.15;120526,3359;80803,83594;26929,66992;126,994072;89,314278;232,894562;66,190392;119,705177;950,711365;132,330673;544,219116;4,420143;77,348671;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.16;135575,2344;73187,8125;32529,83008;741,920166;42,615181;-56,261475;74,120132;80,676331;950,567932;218,169952;477,630341;4,512909;79,111488;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.17;84462,89844;41523,91406;23985,7168;45,020805;718,204407;35,062782;19,329689;12,894855;312,101837;632,958618;184,80127;4,006593;79,205521;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.18;138315,3906;111542,4766;22993,47656;715,934814;67,553596;388,541992;62,977612;167,679977;960,496826;29,83555;508,064301;4,356337;89,699295;SC2;CF;0;24h
