Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_A1 MPP SC4_CF0.csv;128140,8516;109675,3672;12162,66992;112,288292;151,505646;1023,149597;72,199326;-28,427814;816,158447;125,27652;413,58371;4,202733;88,773773;A1;SC4;CF;0;MPP;24h
export_A1 MPP SC4_Vi1.csv.1;114346,3125;52036,73438;1,160928;61,130463;164,413406;67,10511;25114,01563;29,382998;553,762756;213,324783;625,614258;3,157035;29,733654;A1;SC4;Vi;1;MPP;24h
export_A1 MPP SC4_Vi1.csv.2;121894,625;59019,21094;0,03937;112,664108;194,275909;124,28315;26945,87891;79,98349;705,966064;235,911407;621,755371;2,139466;75,626907;A1;SC4;Vi;1;MPP;24h
export_A10 ST-HSC SC5_CV0.csv;135676,0469;87543,9375;16270,07324;299,135498;120,424461;264,848877;21142,93945;73,009689;609,824829;337,638275;384,003113;6,036256;48,673;A10;SC5;CV;0;ST-HSC;24h
export_A11 HSC SC5_CF1.csv.1;100315,9531;63626,98047;7369,15332;1490,974365;90,575996;140,061615;19,504265;111,197273;15,822898;45,57457;263,110992;3,646937;62,937523;A11;SC5;CF;1;HSC;24h
export_A11 HSC SC5_CF1.csv.2;98526,51563;53141,45313;7090,230469;1445,708496;85,415474;73,42778;36,734325;156,873825;31,992865;38,214531;311,611053;3,829501;66,543854;A11;SC5;CF;1;HSC;24h
export_A11 HSC SC5_VC0.csv;161850,1406;105654,7578;7346,4375;8147,97168;29,057272;189,247635;40565,82422;163,432999;-180,336975;216,922562;208,749542;5,99219;79,012756;A11;SC5;VC;0;HSC;24h
export_A12 HSC SC5_CV1.csv;140666,7813;67293,15625;9977,944336;3059,236328;51,535484;592,416321;12557,58301;106,603592;811,216003;107,281837;433,723145;5,726113;22,182898;A12;SC5;CV;1;HSC;24h
export_A12 HSC SC5_Vi1.csv.1;178193,6875;95409,48438;1,415061;1188,795898;83,894096;759,367676;27967,12891;117,774773;232,007965;224,19725;327,343933;3,250869;100,232628;A12;SC5;Vi;1;HSC;24h
export_A12 HSC SC5_Vi1.csv.2;126768,6406;80101,65625;9,816683;1393,958618;114,795082;247,824249;24030,61523;174,411636;675,151245;140,994568;206,922104;3,799093;151,129333;A12;SC5;Vi;1;HSC;24h
export_A2 MPP SC4_CF0.csv;128175,3281;68908,15625;12466,68848;65,802078;263,860138;367,126678;69,15937;42,506374;441,046997;464,565491;541,65271;4,197104;67,767403;A2;SC4;CF;0;MPP;24h
export_A2 MPP SC4_CV0.csv;126760,4219;75882,59375;17666,31836;116,41925;180,824677;369,86731;25217,86719;47,835495;536,034058;164,123856;297,76889;6,115664;212,979233;A2;SC4;CV;0;MPP;24h
export_A2 MPP SC4_Vi1.csv.1;148102,5938;70198,375;1,09569;75,37941;185,547531;175,117462;25978,75391;20,479733;909,40918;103,12336;621,878906;3,14967;56,006042;A2;SC4;Vi;1;MPP;24h
export_A2 MPP SC4_Vi1.csv.2;119288,3203;66411,54688;1,460008;40,007244;224,421478;223,780136;22800,90625;92,507248;932,35614;140,771835;1017,005127;3,197754;185,320175;A2;SC4;Vi;1;MPP;24h
export_A3 ST-HSC SC4_CF0.csv;164613,0938;103561,3438;13361,09375;232,315552;85,293709;259,511139;45,440174;184,410568;159,232956;898,632629;378,503326;4,089398;12,138682;A3;SC4;CF;0;ST-HSC;24h
export_A3 ST-HSC SC4_VC0.csv;132762,5;87287,1875;7665,072754;323,411652;121,505821;953,04126;39088,24219;23,565432;995,055664;630,85791;635,089661;5,993835;48,126942;A3;SC4;VC;0;ST-HSC;24h
export_A4 ST-HSC SC4_CF1.csv.1;137173,2188;78017,125;7919,830078;215,043762;74,189957;784,843506;47,953075;41,327095;1131,411621;62,510014;712,701233;3,945325;6,104875;A4;SC4;CF;1;ST-HSC;24h
export_A4 ST-HSC SC4_CF1.csv.2;137972,5469;85738,26563;8978,444336;79,604897;75,249016;896,884583;72,603813;48,461605;1341,445923;145,701096;756,178284;4,111232;40,645638;A4;SC4;CF;1;ST-HSC;24h
export_A4 ST-HSC SC4_Vi0.csv;135842,6563;59498,87891;1,081657;85,156349;124,340118;305,652924;40357,78906;114,329735;902,476379;174,485535;431,634277;3,280988;48,921799;A4;SC4;Vi;0;ST-HSC;24h
export_A5 HSC SC4_CF0.csv;110954,0547;76279,82813;18470,32031;1399,564575;46,744038;106,34201;27,601698;101,934006;13,373811;1393,866333;179,502014;4,035748;127,546227;A5;SC4;CF;0;HSC;24h
export_A5 HSC SC4_CV0.csv;104752,0703;53514,72656;15832,04883;1665,802002;5,655041;219,550613;23909,99414;110,899826;178,950119;17,046885;373,038147;6,065644;193,254974;A5;SC4;CV;0;HSC;24h
export_A5 HSC SC4_Vi1.csv.1;138752,3594;76935,03906;0,628526;1327,304932;118,906708;103,013359;31776,45703;150,796906;173,890076;58,41478;304,259369;3,040863;35,594757;A5;SC4;Vi;1;HSC;24h
export_A5 HSC SC4_Vi1.csv.2;161281,3281;89391,38281;1,363868;654,459473;107,234833;246,155823;34378,92969;96,144836;165,417847;72,36451;317,996552;3,302942;118,897575;A5;SC4;Vi;1;HSC;24h
export_A6 HSC SC4_CV0.csv;124881,5078;62595,19922;16696,51953;739,433411;88,997032;235,475708;23708,5918;-43,359478;21,77412;1132,338989;281,891571;6,079373;109,413513;A6;SC4;CV;0;HSC;24h
export_A6 HSC SC4_VC0.csv;122474,6953;60242,94141;5119,5;1924,017822;71,366325;212,70195;34438,83594;135,668915;950,857605;132,794785;433,019836;5,830997;65,588997;A6;SC4;VC;0;HSC;24h
export_A7 MPP SC5_CF0.csv;164449,4063;109105,7656;13162,87891;492,331207;222,401154;414,644745;93,26622;116,546623;1679,294189;1242,237671;272,889191;4,305626;112,036713;A7;SC5;CF;0;MPP;24h
export_A7 MPP SC5_CV1.csv.1;105257,8047;64808,14063;9538,233398;231,314575;212,996887;448,797577;13853,06738;55,098366;1367,550415;1017,009949;234,498398;5,742424;121,884529;A7;SC5;CV;1;MPP;24h
export_A7 MPP SC5_CV1.csv.2;127122,7109;67737,46875;8721,204102;324,549194;156,800995;977,465393;12251,32031;203,786697;1228,212524;2045,189209;319,689056;5,67719;179,947296;A7;SC5;CV;1;MPP;24h
export_A7 MPP SC5_Vi1.csv;125463,1172;62759,0625;2,006505;180,112579;106,020004;359,660126;31457,75586;130,196701;2522,73584;497,034668;649,147827;3,394231;77,652702;A7;SC5;Vi;1;MPP;24h
export_A8 MPP SC5_CF0.csv;131924,9844;114381,4609;12501,50586;222,877563;102,393532;914,336121;59,070251;74,805252;1039,159912;134,76088;338,357117;4,149537;221,450562;A8;SC5;CF;0;MPP;24h
export_A8 MPP SC5_CF1.csv;191704,5;97790,48438;5683,640625;114,170441;100,096313;9425,047852;62,732677;307,582947;393,459808;-55,68026;361,112122;3,925942;134,417618;A8;SC5;CF;1;MPP;24h
export_A8 MPP SC5_CV1.csv;117183,8672;101578,4453;8085,21582;12,775345;178,651703;697,158936;10390,27637;192,023575;2267,17749;223,030975;560,946594;5,60334;81,150192;A8;SC5;CV;1;MPP;24h
export_A8 MPP SC5_VC0.csv;158464,4063;81954,53125;6651,89502;265,405243;129,792618;202,998383;37914,84766;171,238785;2593,445801;827,362;221,872086;5,940938;43,761059;A8;SC5;VC;0;MPP;24h
export_A8 MPP SC5_Vi0.csv;162725,2656;102549,3203;4,132099;139,809906;357,329437;791,555603;46558,59766;22,094448;1535,424316;784,096008;392,202789;3,736473;92,050896;A8;SC5;Vi;0;MPP;24h
export_A9 ST-HSC SC5_CF0.csv;142344,2188;72861,51563;10191,17969;189,387527;141,001266;562,753967;102,673943;219,067932;3989,279541;232,995041;789,014038;4,25656;58,462151;A9;SC5;CF;0;ST-HSC;24h
export_A9 ST-HSC SC5_VC0.csv;135348,7656;85104,92188;6087,896484;134,437439;147,865189;349,966736;36068,60547;122,280991;2223,877686;146,739166;306,998505;5,898399;101,3433;A9;SC5;VC;0;ST-HSC;24h
export_B1 MPP SC4_CV0.csv;159476,5313;109350,2422;14279,20898;113,191872;153,471527;414,875458;21031,61719;57,916752;1013,187317;188,990967;573,125977;5,994552;46,34383;B1;SC4;CV;0;MPP;24h
export_B1 MPP SC4_Vi0.csv;157361,6875;91542,27344;4,677698;172,23555;271,189148;185,385788;44700,86328;-32,345013;135,029953;3280,0354;462,99527;3,762054;107,985344;B1;SC4;Vi;0;MPP;24h
export_B10 ST-HSC SC5_CV1.csv;126561,2734;55794,6875;8605,998047;441,125275;55,25296;242,73558;10528,31738;17,468122;1543,537964;882,514038;266,121246;5,626562;214,726852;B10;SC5;CV;1;ST-HSC;24h
export_B10 ST-HSC SC5_VC0.csv;162309,6719;139580,4375;6285,126953;139,955948;163,843842;457,832092;39947,29297;154,843338;2040,581665;97,14119;514,111816;5,939557;73,754097;B10;SC5;VC;0;ST-HSC;24h
export_B11 HSC SC5_CF0.csv;132348,6406;112928,2031;15800,62988;1809,153687;115,024727;136,240448;41,752388;192,032227;143,102859;50,710049;402,953217;4,114906;169,491028;B11;SC5;CF;0;HSC;24h
export_B11 HSC SC5_CV0.csv;155378,2031;97448,78125;13312,96191;341,02951;163,645737;500,428864;18524,53516;185,136536;1396,304688;131,783127;417,676453;5,934056;3,353949;B11;SC5;CV;0;HSC;24h
export_B11 HSC SC5_VC0.csv;166068,125;105617,2266;8132,154785;779,408813;107,992027;527,754333;52670,66406;93,438026;188,594543;33,272755;225,470078;6,103586;153,416397;B11;SC5;VC;0;HSC;24h
export_B12 HSC SC5_CV0.csv;188745,5;107179,8984;19862,08398;4933,791992;61,476166;222,35759;21737,70898;87,189598;-118,418839;84,124481;389,680054;6,106036;188,025406;B12;SC5;CV;0;HSC;24h
export_B12 HSC SC5_VC1.csv.1;111053,4375;71600,92188;4049,622803;527,772949;140,511627;462,739349;22453,08984;118,928459;1160,502686;77,160385;309,503723;5,627644;67,628616;B12;SC5;VC;1;HSC;24h
export_B12 HSC SC5_VC1.csv.2;157739,3125;93860,21875;4233,89502;577,879333;83,18956;546,994751;24136,28516;204,490097;1019,75116;57,388775;325,830597;5,663508;72,839882;B12;SC5;VC;1;HSC;24h
export_B12 HSC SC5_Vi1.csv.1;137055,8438;79875,6875;-0,4056;2829,698242;76,508926;113,814514;23377,32422;139,036484;-50,153263;73,567436;205,26593;0;20,130802;B12;SC5;Vi;1;HSC;24h
