Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Original_cell;Culture_time
export_H1 bulk ckit+ SC4_CF0.csv.1;171514,1875;102169,8516;10415,83106;90,452057;81,649963;3884,735107;75,821831;128,417877;264,414948;-15,157561;144,399109;4,170154;2,034175;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.2;142663,875;75885,21094;9931,412109;47,502254;137,539352;315,42157;84,665123;166,754654;1065,263794;152,290482;700,19519;4,189406;3,096068;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.3;132355,5313;92788,42969;10142,02051;68,033691;159,831467;297,937805;77,166069;131,814346;1193,511841;108,35878;624,298096;4,16737;3,11629;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.4;163331,9844;116436,7109;18518,79102;61,619583;114,055519;96,483246;119,023354;188,928284;1278,664795;233,132538;583,638123;4,485352;3,287322;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.5;145548,875;91874,6875;14010,18262;49,494564;159,883301;1924,842896;49,355614;85,263824;865,626282;77,699196;313,415436;4,129348;6,391511;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.6;158674,5781;118069,9844;14163,31543;-38,405109;149,304306;96,24379;70,348732;132,386658;711,035217;344,227936;467,979279;4,241524;6,842627;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.7;133426,8125;87596,23438;9931,600586;155,072632;347,921143;732,542419;47,883354;1,259741;932,121887;337,908539;406,077393;4,01439;10,166935;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.8;139993,1406;92030,35938;11988,75684;121,539413;207,151428;143,681168;58,173859;155,157562;1090,712891;307,876648;412,807831;4,13198;10,572542;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.9;103102,4375;58621,79688;12156,83301;45,285965;78,497498;2360,106689;45,712334;47,450504;628,409607;185,763046;577,261353;4,062225;10,808993;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.10;152939,5469;94129,42969;16079,13184;88,067299;219,038162;63,066113;84,977356;52,231674;916,193909;1198,077393;247,409988;4,3385;11,984651;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.11;167293,6406;155914,2344;11504,61328;424,966492;120,994522;524,458313;67,758698;195,232941;845,25769;124,504868;816,111877;4,166158;12,738718;SC4;CF;0;ckit+;24h
