Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time;Culture_condition;Experiment;Well_experiment;Family;Class;Cell_color;Cell_rank
export_A10 ST-HSC SC3_CV0.csv;138833,4844;95837,71875;23769,50195;56,218636;617,9523929999998;232,496674;10402,88379;25,036615;1904,770264;584,1220089999998;337,860657;5,93487;181,114899;A10;SC3;CV;0;ST-HSC;24h;P+ILs;TT23;A10_TT23;A10CV24hST-HSCTT23;MPP;Limegreen;3
export_A10 ST-HSC SC3_VC0.csv;100387,4531;74383,0;9381,631836;902,713745;173,740997;128,10163899999998;23591,35742;-153,09368899999996;-11,903639;6617,5004880000015;210,877701;5,900828;125,651703;A10;SC3;VC;0;ST-HSC;24h;P+ILs;TT23;A10_TT23;A10VC24hST-HSCTT23;SLAM-HSC;Red;0
export_A11 HSC SC3_CF0.csv;103834,7266;79074,04688;23447,56836;2337,264648;121,778053;-1,955213;51,090351;252,375992;53,559303;-20,452351;197,592834;4,298104;142,539352;A11;SC3;CF;0;SLAM-HSC;24h;P+ILs;TT23;A11_TT23;A11CF24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_A11 HSC SC3_CV1.csv.1;121769,875;66643,07031;21578,73047;508,677582;145,386749;-32,538658;9519,720703;171,665009;504,46334800000005;84,55119300000001;233,114456;5,8779309999999985;96,179077;A11;SC3;CV;1;SLAM-HSC;24h;P+ILs;TT23;A11_TT23;A11CV24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_A11 HSC SC3_CV1.csv.2;120712,4453;74148,9375;20664,12109;1126,792236;199,580887;161,291779;9211,856445;90,54155;496,891449;89,821815;406,409302;5,854536;98,111137;A11;SC3;CV;1;SLAM-HSC;24h;P+ILs;TT23;A11_TT23;A11CV24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_A12 HSC SC3_CV0.csv;106794,1328;66707,6875;26895,2793;831,708618;302,025177;184,494934;12920,56445;-65,274651;104,265541;4036,396484;355,89978;6,0393690000000015;68,841797;A12;SC3;CV;0;SLAM-HSC;24h;P+ILs;TT23;A12_TT23;A12CV24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_A12 HSC SC3_VC0.csv;97004,97656;52545,99609;12137,87598;519,846863;79,562469;81,639488;30771,61523;194,991486;400,330658;161,541;217,408554;6,0615260000000015;201,298843;A12;SC3;VC;0;SLAM-HSC;24h;P+ILs;TT23;A12_TT23;A12VC24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_A2 MPP SC2_CV0.csv;119478,9609;84324,25;29401,83789;71,25679000000002;787,555298;355,0414120000001;13182,62598;167,876602;759,693054;430,429504;734,14386;6,072899;32,879116;A2;SC2;CV;0;MPP;24h;P;TT23;A2_TT23;A2CV24hMPPTT23;MPP;Limegreen;3
export_A3 ST-HSC SC2_CF0.csv;109235,4531;76312,00781;32090,27148;168,175308;184,32222;123,287804;55,26521700000001;128,301224;952,605835;197,893051;334,833496;4,4185870000000005;155,435791;A3;SC2;CF;0;ST-HSC;24h;P;TT23;A3_TT23;A3CF24hST-HSCTT23;MEP;Deepskyblue;6
export_A3 ST-HSC SC2_VC0.csv;140785,7813;77248,17969;11270,24121;114,845909;608,203613;137,825836;28646,85742;50,483795;1821,935669;409,043304;588,41687;6,016779;42,32896;A3;SC2;VC;0;ST-HSC;24h;P;TT23;A3_TT23;A3VC24hST-HSCTT23;MPP;Limegreen;3
export_A3 ST-HSC SC2_Vi0.csv;107319,3672;51666,42969;0,953281;-14,640567;424,387451;0,955741;29074,51563;102,084213;485,86074800000006;1413,61499;351,3569950000001;3,141487;193,041473;A3;SC2;Vi;0;ST-HSC;24h;P;TT23;A3_TT23;A3Vi24hST-HSCTT23;ST-HSC;#deff19;2
export_A4 ST-HSC SC2_CF0.csv;123964,7422;79440,22656;37102,40234;480,292847;204,885254;154,27066000000005;26,142864000000007;70,879051;757,083618;441,849945;503,382813;4,233275;154,36004599999995;A4;SC2;CF;0;ST-HSC;24h;P;TT23;A4_TT23;A4CF24hST-HSCTT23;SLAM-HSC;Red;0
export_A4 ST-HSC SC2_CV0.csv;112857,4141;58127,35938;23314,27539;23,099194;263,86911000000003;669,144897;10102,16797;253,11322;1509,4650880000004;305,499573;603,122437;5,919924;110,88372;A4;SC2;CV;0;ST-HSC;24h;P;TT23;A4_TT23;A4CV24hST-HSCTT23;ST-HSC;#deff19;2
export_A5 HSC SC2_CF0.csv;82937,72656;42251,98047;23903,875;1033,326538;175,989197;197,316956;15,23701;-55,971058;18,730434;2848,793457;194,016983;3,932481;99,978188;A5;SC2;CF;0;SLAM-HSC;24h;P;TT23;A5_TT23;A5CF24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_A5 HSC SC2_CV0.csv;104955,1328;77569,02344;24204,48438;1463,846558;77,67031899999998;84,019722;10964,97461;73,40332;202,738998;172,914917;221,740829;5,956599;126,944473;A5;SC2;CV;0;SLAM-HSC;24h;P;TT23;A5_TT23;A5CV24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_A5 HSC SC2_VC0.csv;135651,8125;86622,97656;8509,807617;452,408813;103,835274;365,636047;16513,625;118,255058;625,7337650000002;45,25766;339,636505;5,7613379999999985;39,290043;A5;SC2;VC;0;SLAM-HSC;24h;P;TT23;A5_TT23;A5VC24hSLAM-HSCTT23;GMP;aqua;5
export_A5 HSC SC2_Vi1.csv.1;129796,5;80491,875;3,340284;51,763443;147,941544;868,1924439999998;17555,28125;-48,363365;1759,603882;288,0924990000001;793,287598;3,37162;132,466354;A5;SC2;Vi;1;SLAM-HSC;24h;P;TT23;A5_TT23;A5Vi24hSLAM-HSCTT23;ST-HSC;#deff19;2
