Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_A1 MPP SC2_CF0.csv;81587,96875;45297,43359;23328,4043;116,189621;369,731873;206,844696;49,305939;41,965462;56,510616;1177,375732;145,546829;4,285622;88,600914;A1;SC2;CF;0;MPP;24h
export_A1 MPP SC2_VC0.csv;136975,2031;86540,75;9987,023438;146,853912;215,406311;387,283875;42823,62109;87,620445;109,104706;475,983093;520,217224;6,103123;79,999977;A1;SC2;VC;0;MPP;24h
export_A10 ST-HSC SC3_CF1.csv.1;99678,58594;60171,90234;17767,29688;268,769348;136,55246;94,696442;36,434357;75,177124;44,694759;12,594612;315,620819;4,109091;20,149498;A10;SC3;CF;1;ST-HSC;24h
export_A10 ST-HSC SC3_CF1.csv.2;128758,375;75849,44531;20093,41602;230,032791;109,052956;148,208099;52,437401;144,84346;63,884056;3,247318;161,227524;4,258688;102,440956;A10;SC3;CF;1;ST-HSC;24h
export_A10 ST-HSC SC3_CV0.csv;155799,5781;104139,7734;28464,66602;1059,855957;188,427643;303,296783;20586,98828;-134,791183;404,750793;4773,547363;428,727112;6,199841;38,283298;A10;SC3;CV;0;ST-HSC;24h
export_A10 ST-HSC SC3_VC1.csv;82962,45313;60731,875;4246,084473;99,950806;116,583351;191,181946;16010,48438;116,471825;1127,794067;216,102875;258,975281;5,538338;54,12167;A10;SC3;VC;1;ST-HSC;24h
export_A11 HSC SC3_CF0.csv;120269,2031;63586,17578;21318,20117;1343,38916;83,063637;121,209793;48,660725;31,206724;71,066711;165,777069;474,162659;4,253904;135,318314;A11;SC3;CF;0;HSC;24h
export_A12 HSC SC3_CF0.csv;108271,8203;66526,61719;23575,01953;1201,382446;106,009659;203,738022;81,417938;29,019331;28,85762;3196,528076;361,890778;4,442873;49,918331;A12;SC3;CF;0;HSC;24h
export_A2 MPP SC2_CV0.csv;118771,375;71962,875;20680,54883;155,521835;814,631104;508,24585;16611,67383;219,448975;928,739929;597,101563;830,519165;6,035846;118,470703;A2;SC2;CV;0;MPP;24h
export_A2 MPP SC2_Vi0.csv;119688,625;89540,19531;-0,132107;44,285732;2539,172363;393,964996;36741,66016;202,076233;247,856674;118,349472;615,582458;0;53,848961;A2;SC2;Vi;0;MPP;24h
export_A3 ST-HSC SC2_CF0.csv;80889,03125;46623,58984;23618,48633;378,736542;253,354111;221,55658;35,694893;-155,532288;28,120264;5168,321777;136,021439;4,190215;137,408295;A3;SC2;CF;0;ST-HSC;24h
export_A4 ST-HSC SC2_Vi0.csv;120318,5859;60348,54297;1,16817;192,558685;215,111542;55,901001;53003,33984;168,717712;107,975319;451,919037;326,202545;3,388321;204,874603;A4;SC2;Vi;0;ST-HSC;24h
