FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time;Culture_condition;Experiment;Well_experiment;Family
129407;94414,60156;107296,3516;2796,872803;3819,095459000001;-7,029337;1416,379639;5355,2661130000015;738,1716309999998;5,681183;CF;A1;SC2;MPP;24h;P;TT23;A1_TT23;A1CF24hMPPTT23
162926;123431,5625;139579,8594;4010,157227;3220,2763670000004;11,399571;1526,598999;58277,49219;1819,477173;6,014543;CF;A2;SC2;MPP;24h;P;TT23;A2_TT23;A2CF24hMPPTT23
163592;103776,3359;142681,0;3916,244629;4803,462402;-22,158522;940,509155;6143,566895;557,164673;6,298582;CF;A3;SC2;ST-HSC;24h;P;TT23;A3_TT23;A3CF24hST-HSCTT23
153508;114151,9453;112276,5078;4925,823242;5149,916504;-29,100191;-37,265736;21742,45898;454,382538;7,0740110000000005;CF;A4;SC2;ST-HSC;24h;P;TT23;A4_TT23;A4CF24hST-HSCTT23
125984;80590,375;96005,63281;378,787048;3270,129883;-39,534237;16811,58398;23625,25391;-1,922981;8,917299;CF;A5;SC2;SLAM-HSC;24h;P;TT23;A5_TT23;A5CF24hSLAM-HSCTT23
129031;76588,40625;88300,38281;324,706329;8431,600586;-26,187027;3240,289795;19374,83203;460,1492;9,365825;CF;A6;SC2;SLAM-HSC;24h;P;TT23;A6_TT23;A6CF24hSLAM-HSCTT23
170067;107252,3281;135319,6719;6543,9370119999985;5029,101074;34,579254;1893,119751;2317,734375;2020,5596920000007;10,332076;CF;A8;SC3;MPP;24h;P+ILs;TT23;A8_TT23;A8CF24hMPPTT23
129907;65300,0625;107195,2031;3823,371338;5970,1552729999985;4,832425;2576,206055;508,495819;153,470078;10,782666;CF;A9;SC3;ST-HSC;24h;P+ILs;TT23;A9_TT23;A9CF24hST-HSCTT23
139529;77593,95313;78362,69531;1027,9884029999996;1985,387085;-13,493626;-117,940674;23680,03516;229,033798;11,125581;CF;A10;SC3;ST-HSC;24h;P+ILs;TT23;A10_TT23;A10CF24hST-HSCTT23
149042;78957,69531;114026,9922;-84,531586;3727,806641;10,600891;10333,52832;573,91394;119,457596;11,354877;CF;A11;SC3;SLAM-HSC;24h;P+ILs;TT23;A11_TT23;A11CF24hSLAM-HSCTT23
136204;76816,88281;82332,53125;2729,967529;5501,696289;-29,970192;12268,23828;1486,7084960000002;-39,646526;11,792944;CF;A12;SC3;SLAM-HSC;24h;P+ILs;TT23;A12_TT23;A12CF24hSLAM-HSCTT23
141248;87262,70313;138601,6875;-36,068775;5894,228027;-35,51861599999999;18905,50781;874,0594480000002;174,932587;12,07621;CF;B12;SC3;SLAM-HSC;24h;P+ILs;TT23;B12_TT23;B12CF24hSLAM-HSCTT23
154486;89020,33594;139562,0156;7563,812988;3685,495605;-17,184322;7518,50293;645,961914;46,349758;12,38478;CF;B11;SC3;SLAM-HSC;24h;P+ILs;TT23;B11_TT23;B11CF24hSLAM-HSCTT23
145173;87098,48438;137215,3438;3845,331787;3271,45874;-38,739845;1472,407104;11245,1377;386,365021;12,665075;CF;B10;SC3;ST-HSC;24h;P+ILs;TT23;B10_TT23;B10CF24hST-HSCTT23
161479;98890,19531;132030,5;2302,929199;6630,165527;43,625225;-928,318604;33521,01953;295,6099240000001;13,065959;CF;B9;SC3;ST-HSC;24h;P+ILs;TT23;B9_TT23;B9CF24hST-HSCTT23
133965;66532,90625;93657,76563;1561,024902;1938,988892;-30,306087;1734,251709;25860,37109;2816,959229;13,380728;CF;B8;SC3;MPP;24h;P+ILs;TT23;B8_TT23;B8CF24hMPPTT23
137766;84555,45313;117237,6172;3549,499756;3376,837158;-43,68819000000001;338,4159850000001;29638,01367;1954,80188;13,635588;CF;B7;SC3;MPP;24h;P+ILs;TT23;B7_TT23;B7CF24hMPPTT23
156723;94806,11719;105964,7422;856,638672;3446,7387700000004;-23,046127;5872,539063;22215,64648;-9,265724;13,924664000000002;CF;B6;SC2;SLAM-HSC;24h;P;TT23;B6_TT23;B6CF24hSLAM-HSCTT23
155454;81603,0625;92631,98438;2754,980469;2987,94751;-25,992186;6447,269043;704,787781;177,325989;14,373962;CF;B5;SC2;SLAM-HSC;24h;P;TT23;B5_TT23;B5CF24hSLAM-HSCTT23
148719;95283,30469;84522,13281;302,2275390000001;1757,4006350000002;-26,871984;-784,115417;55465,05078;556,8256230000002;14,621981;CF;B4;SC2;ST-HSC;24h;P;TT23;B4_TT23;B4CF24hST-HSCTT23
155270;82776,40625;101584,3516;2697,344727;4499,270508;-34,362625;1382,646118;9208,746094;611,321167;14,939201;CF;B3;SC2;ST-HSC;24h;P;TT23;B3_TT23;B3CF24hST-HSCTT23
